SITE_ACCOUNT_NUMBER,ACCOUNT_STATUS,FIRST_COMMUNICATION_DATE,UPGRADE_DATE,SERVICE_ PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,COMPANY_SOURCE_NAME,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIPCODE,EMAIL_ADDRESS,FEEDBACK,SATELLITE,SITE_TYPE_DESC,WARRANTY_NAME,MOST_RECENT_SALES_CHANNEL,GENDER,DATE_OF_BIRTH,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER
AMR-11112345,Active,11/27/2001,12/14/2003,,HN9000,Vars,Indirect,UNKNOWN,HNS Customers,Ace,FUTRELL,TRIPLE CANTHOOK LN 0 0 0,GERMANTOWN, MD,20876,Ace.FUTRELL@hotmail.com,,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,1-5-1943,69,0,1,0,N
AMR-14837287,Active,5/2/2003,8/8/2006,Pro,HN7000S,Sales Agents,Indirect,NCC,HNS Customers,Robert,Fitzpatrick,RR JOE 62 0 0 0,WEST BERLIN, NJ,8091,Robert.Fitzpatrick@hughes.net,GOOD,HZN2-VER-4K,Spaceway,0,Retail       ,2,28-12-1969,43,4,1,0,N
AMR-14837803,Active,1/28/2001,3/17/2004,Power150,HN9000,Call Center,Indirect,NCC,HNS Customers,EDWARD,Vipperman,69330 1 RD WAY 0 0,MERRYVILLE, LA,70653,EDWARD.Vipperman@rossaweb.net,BAD,SM5-VER-15K,Broadband Remote,0,National Sales,2,20-7-1954,58,4,1,0,N
AMR-14837821,Active,11/20/2001,3/27/2005,Power150,DW6000,Sales Agents,Direct,,HNS Customers,Dannya,Jyotinagaram,PO ROCK ST 421 0 0,ZANESVILLE, OH,43701,Danny.Jyotinagaram@sipnsearch.com,,SPACEWAY3,Spaceway,0,Direct,,10-5-1990,22,6,1,1,
AMR-14839297,Active,2/27/2002,6/14/2004,Home,HN7000S,Call Center,Indirect,TAG,HNS Customers,Joannea,BARNOSKY,626 NW RD 0 0 0,CALLICOON, NY,12723,Joanne.BARNOSKY@geeksquad.com,GOOD,0,Broadband Remote,0,DW6000 Upgrade,1,11-5-1976,36,7,0,0,
AMR-14840229,Active,2/5/2002,7/13/2005,Pro,HN9000,Sales Agents,Indirect,UNKNOWN,HNS Customers,Anne,Sirkin,11489 HAUN 1290 BEND 0 0,FRIENDSWOOD, TX,77546,Anne.Sirkin@hotmail.com,GOOD,SPACEWAY3,Broadband Remote,0,HN9000 Upgrade,2,19-1-1961,51,7,1,0,
AMR-14841940,Active,11/21/2001,6/5/2003,Power150,HN7000S,,Indirect,ValueElectronics,HNS Customers,Arthur,Jolly,2413 LELAND ST SE 0 300,KEARNEY, MO,64060,Arthur.Jolly@compuserve.com,,G17-HOR-2K,Broadband Remote,0,Retail,1,2-12-1956,56,3,1,0,
AMR-14842501,Active,7/20/2001,1/25/2004,Power150,HN7000S,Vars,Indirect,TAG,HNS Customers,Larry,Thomas,72 HIGHWAY DR DRIVE 0 0,POTOMAC, MD,20854,Larry.Thomas@yahoo.com,GOOD,SM5-VER-5K,Broadband Remote,0,Retail       ,1,26-10-1955,57,7,0,,Y
AMR-14847927,Active,4/13/2002,2/23/2006,Home,DW6000,Vars,Indirect,,HNS Customers,William,Brewer,16805 GOLF 327 0 0 0,CLARENDON, AR,72029,William.Brewer@hotmail.com,GOOD,AM6-HOR-21K,Broadband Remote,0,HN9000 Upgrade,2,8-6-1970,42,4,2,0,
AMR-14859335,Active,4/9/2002,9/6/2004,Basic_Ltd,HN7000S,Sales Agents,Indirect,Hughes Web Order,HNS Customers,Walt,Hartwick,212 E KAMM ROUTE 0 63,GERMANTOWN, MD,20874,Walt.Hartwick@hotmail.com,BAD,G17-HOR-6K,Broadband Remote,0,HN7000 Upgrade,2,15-11-1978,34,4,2,1,N
AMR-14859461,Active,1/19/2002,11/7/2004,Basic,HN7000S,Call Center,Indirect,TAG,HNS Customers,Phillip,Krause,4350 COUNTY RD CT 0 0,WICKENBURG, AZ,85390,Phillip.Krause@hotmail.com,GOOD,G3C-VER-24K,Broadband Remote,0,DPC Classic upgrade,2,23-3-1958,54,3,1,1,N
AMR-14864530,Active,4/8/2002,1/31/2005,Proplus,HN7000S,,Direct,InfoDish,HNS Customers,Perrya,Whitehurst,7360 JOHN 205 0 0 0,GOLD POINT, NV,89013,Perry.Whitehurst@compuserve.com,BAD,0,Broadband Remote,0,DPC Classic upgrade,,18-2-1955,57,6,1,0,
AMR-14866461,Active,8/25/2001,11/8/2003,Power150,HN7000S,Web orders,Indirect,InfoDish,HNS Customers,Dave,Cross,10421 MCCALL RD LN 0 0,LUSK, WY,82225,Dave.Cross@wexzone.com,BAD,SM5-VER-15K,Broadband Remote,0,Dealer-Generated Sale,2,10-4-1960,52,A,0,0,Y
AMR-14873604,Active,5/21/2001,1/29/2004,Basic_Ltd,DW6000,Vars,Indirect,Hughes Web Order,HNS Customers,Jennifer,Langstraat,32323 W RD RD 0 0,SHEBOYGAN FLS, WI,53085,Jennifer.Langstraat@compuserve.com,BAD,SPACEWAY3,Broadband Remote,0,DPC Classic upgrade,1,9-3-1973,39,6,0,0,Y
AMR-14873868,Active,1/6/2002,3/12/2004,Basic,HN7000S,Sales Agents,Indirect,NRTC,HNS Customers,Craiga,Julian,849 OLD LANE LOBO 0 0,SHOW LOW, AZ,85901,Craig.Julian@sipnsearch.com,GOOD,HZN-HOR-19K,Broadband Remote,0,Direct,,27-5-1988,24,6,0,0,
